"code","iso","country","PRS.ind.1995","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024"
203,"CZE","Czech Republic",74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,73.2,71.9,70.6,70.6,70.6,70.6,70.6,70.6,70.6
180,"COD","Dem. Rep. Congo",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,62.4,60.1,57.8,57.8,57.8,57.8,57.8,57.8,57.8
208,"DNK","Denmark",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,73.7,72.5,71.2,71.2,71.2,71.2,71.2,71.2,71.2
262,"DJI","Djibouti",68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,74.7,80.5,86.3,86.3,86.3,86.3,86.3,86.3,86.3
212,"DMA","Dominica",19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,25.9,31.9,38,38,38,38,38,38,38
214,"DOM","Dominican Republic",49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,51.8,53.6,55.4,55.4,55.4,55.4,55.4,55.4,55.4
218,"ECU","Ecuador",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37.4,35.8,34.2,34.2,34.2,34.2,34.2,34.2,34.2
818,"EGY","Egypt",49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,47.6,46,44.4,44.4,44.4,44.4,44.4,44.4,44.4
222,"SLV","El Salvador",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,54.1,52.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
226,"GNQ","Equatorial Guinea",54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,58.2,61.6,64.9,64.9,64.9,64.9,64.9,64.9,64.9
232,"ERI","Eritrea",95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,94.1,92.3,90.4,90.4,90.4,90.4,90.4,90.4,90.4
233,"EST","Estonia",70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.1,69.4,68.7,68.7,68.7,68.7,68.7,68.7,68.7
748,"SWZ","Eswatini",71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.7,71.8,71.8,71.8,71.8,71.8,71.8,71.8
231,"ETH","Ethiopia",65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,64.7,63.7,62.8,62.8,62.8,62.8,62.8,62.8,62.8
