"code","iso","country","OEB.ind.1995","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024"
784,"ARE","United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,"GBR","United Kingdom",61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,59.3,51.7,52.3,52.4,47.6,52.5,59.2,51.8,50.4,38.9,49.6,41.9,52.2,38.8,38.8,35.4,33.6,43.4,43,43,43
840,"USA","United States of America",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,39.7,30.2,28.4,29.5,31.8,34.4,32.2,32,30.9,28.6,32.5,31.9,31.2,27.3,27.6,25.3,26.6,30.8,31.7,31.7,31.7
858,"URY","Uruguay",89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,87.6,77.2,81,84.1,78.6,81.2,80.8,81.4,81.1,82.4,82.5,84.6,82.1,75.7,77.4,75.4,69.9,77.4,78.9,78.9,78.9
860,"UZB","Uzbekistan",42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42,40.5,40.4,41.3,45.2,44.4,42.4,43,42.3,40.3,48.3,43.5,47.6,38.5,39.2,35.6,39.7,41.1,41.5,41.5,41.5
548,"VUT","Vanuatu",75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,74.7,75,76.9,84.1,82.7,74.1,85.6,80.2,76.9,76,68,68.7,74.6,65.6,64,59.4,64.6,69.7,80.5,80.5,80.5
862,"VEN","Venezuela",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
704,"VNM","Viet Nam",45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,44.8,46.6,47.1,46,46.8,48.7,48.9,40.6,51.3,46,50.3,47.6,48.2,46.3,42,36.1,37.8,40.7,43.9,43.9,43.9
876,"WLF","Wallis and Futuna Islands",87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,89.5,88.3,91,94.8,87.2,83.7,92.9,88,89.5,85.5,76.3,76.9,85.3,76.3,75.5,73.2,79,79.2,81.8,81.8,81.8
732,"ESH","Western Sahara",11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,18.8,14.5,17.4,11.5,16.5,14.7,17.7,13.2,18.3,13.9,14.9,20.5,15.8,16.3,11.6,10,16.3,16.8,19.5,19.5,19.5
887,"YEM","Yemen",11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,13.4,17.8,14.7,15.3,14.5,16.7,18.4,10.8,9.8,20.1,20.4,19.4,22.1,11.9,10.8,5.1,0,0,0,0,0
894,"ZMB","Zambia",74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,76.5,68.1,78,71.3,69.2,74.4,70.8,70.9,71.6,72.1,73.1,73.3,73.1,75,74.9,72.7,72.1,69.4,69.3,69.3,69.3
716,"ZWE","Zimbabwe",78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,78.3,81.3,73.3,82.7,74.7,73.4,80.4,75.8,74.9,74.4,76,76.5,75.3,77.2,78.1,74.7,71.2,73.9,71.4,69.5,69.5,69.5
